school_name,latitude,longitude,nearest_stop_distance_m,avg_3_nearest_m,routes_serving,accessibility_score,proximity_score,route_quality,accessibility_category,walk_category
veterinary college,13.030021,77.587012,1428,1686,44,0.394,0.0,0.85,POOR,POOR (> 15 min)
"baleveerana halli,baleveerana halli,beside govt. primary school",13.018526,77.393921,1619,2075,44,0.394,0.0,0.85,POOR,POOR (> 15 min)
"gollahalli,in front of govt. school",12.893727,77.361349,1527,1699,44,0.394,0.0,0.85,POOR,POOR (> 15 min)
"cholanayakanahalli,cholanayakana halli,in front of primary school",12.960416,77.35959,1436,2225,44,0.394,0.0,0.85,POOR,POOR (> 15 min)
"kaleri,opposite of government school",13.008874,77.168234,8675,8854,44,0.394,0.0,0.85,POOR,POOR (> 15 min)
"sulikere,sulikere,in front of vishweshwara swami high school",12.938661,77.447872,1733,3166,44,0.394,0.0,0.85,POOR,POOR (> 15 min)
"gollahalli,opposite of govt. school",12.893857,77.361567,1550,1707,44,0.394,0.0,0.85,POOR,POOR (> 15 min)
"kempaiahanapalya,kempaiahana palya,beside govt.higher primary school",12.720291,77.429375,7864,8071,44,0.394,0.0,0.85,POOR,POOR (> 15 min)
"gollarapalya,gollarapalya,opposite of government primary school",12.801515,77.425107,1007,1408,44,0.442,0.096,0.85,MODERATE,POOR (> 15 min)
"annekarana halli,athimgere,in front of government primary school",12.869676,77.270038,964,2921,44,0.511,0.235,0.85,MODERATE,ACCEPTABLE (10-15 min)
rv college,12.925494,77.499366,948,1136,44,0.519,0.252,0.85,MODERATE,ACCEPTABLE (10-15 min)
"high ground police station,vasantha nagara,beside sophia school",12.98546,77.58842,853,999,44,0.567,0.347,0.85,MODERATE,ACCEPTABLE (10-15 min)
"ganakkal,tavarekere,in front of government primary school",12.957369,77.382199,812,1099,44,0.587,0.387,0.85,MODERATE,ACCEPTABLE (10-15 min)
"peddanapalya school,tavarekere,opposite of government school",12.959651,77.389325,812,1096,44,0.587,0.387,0.85,MODERATE,ACCEPTABLE (10-15 min)
"kudu siddanapalya,in front of government primary school",12.932562,77.371633,779,1007,44,0.604,0.421,0.85,MODERATE,ACCEPTABLE (10-15 min)
"byandana halli,byandhalli,beside government primary school",13.005985,77.44228,768,1206,44,0.609,0.432,0.85,MODERATE,ACCEPTABLE (10-15 min)
"bangalore university administrative block,bangalore university,near head office bangalore university",12.949064,77.501061,691,784,44,0.648,0.509,0.85,MODERATE,ACCEPTABLE (10-15 min)
govt first grade college,12.9604,77.23097,679,5999,44,0.654,0.521,0.85,MODERATE,ACCEPTABLE (10-15 min)
pescollege,12.858726,77.662413,651,1270,44,0.668,0.549,0.85,MODERATE,ACCEPTABLE (10-15 min)
widia school tumkur road,13.049104,77.496842,538,730,44,0.714,0.641,0.85,GOOD,GOOD (5-10 min)
sheshadripuram college,13.099711,77.588641,536,770,44,0.715,0.642,0.85,GOOD,GOOD (5-10 min)
"rv teachers college,basavanagudi,beside mega agensis",12.944399,77.579964,536,576,44,0.715,0.642,0.85,GOOD,GOOD (5-10 min)
"ambedkar college,80feet outer ring road,in front of fish product sales counter",12.960259,77.504973,520,733,44,0.72,0.653,0.85,GOOD,GOOD (5-10 min)
"ambedkar college circle,80feet outer ring road,beside ambedkar college",12.960445,77.504976,517,729,44,0.721,0.655,0.85,GOOD,GOOD (5-10 min)
"new horizon school,indira nagara,beside methodist church",12.968392,77.641483,516,681,44,0.722,0.656,0.85,GOOD,GOOD (5-10 min)
gottigere high school,12.861951,77.590474,507,788,44,0.724,0.662,0.85,GOOD,GOOD (5-10 min)
"kumaraswamy layout 2nd stage,kumaraswamy layout 2nd stage,in front of kempegowda govt.higher primary school",12.905881,77.558019,503,625,44,0.726,0.664,0.85,GOOD,GOOD (5-10 min)
national college,12.948886,77.573826,486,589,44,0.731,0.676,0.85,GOOD,GOOD (5-10 min)
"avaragere cross,bidadi,in front of s.l.n.public school",12.80156,77.384209,468,2806,44,0.737,0.688,0.85,GOOD,GOOD (5-10 min)
college stop gollarahatti,12.986112,77.478192,470,565,44,0.737,0.687,0.85,GOOD,GOOD (5-10 min)
tjohn college cross,12.850577,77.588434,461,662,44,0.74,0.692,0.85,GOOD,GOOD (5-10 min)
government school,13.103304,77.576827,434,482,44,0.749,0.711,0.85,GOOD,GOOD (5-10 min)
