route,route_length_km,num_stops,stops_per_km,avg_route_overlap,trips,duration,speed,corridor_pressure,congestion_score_norm,actual_relative_demand,predicted_relative_demand,overcrowding_flag,demand_level,efficiency_score,efficiency_rank,efficiency_category,redundancy_score,redundancy_rank,redundancy_category,priority_score,priority_category
410G,14.30565546,9,0.6291218201,28.44444444,20,1.0,16.0,2.0,0.2497224786,31.8788443,32.23423,0,Normal,23.05658941991979,63,LOW,0.8824297785304629,60,NORMAL,2,HIGH
61,5.242967763,4,0.7629266821,58.75,4,0.5,12.4,2.0,0.5822658818,11.34519256,13.102791,0,Normal,17.174377704581634,87,LOW,4.483777540220248,10,HIGH,3,HIGH
2B,11.03092867,13,1.178504584,34.0,15,0.75,18.66666667,2.0,0.4808849668,31.65938955,31.006884,0,Normal,22.802315045530957,64,LOW,1.0965306929906276,57,NORMAL,2,HIGH
217D,8.720220497,1,0.1146759994,18.0,8,1.0,18.5,2.0,0.02505915742,11.13973516,10.874533,0,Normal,11.853540695237864,102,LOW,1.655243494134415,32,NORMAL,2,HIGH
60J,18.06055984,11,0.6090619612,13.63636364,4,1.25,16.32,2.0,0.1096378152,17.71869978,18.345127,0,Normal,82.83081598897492,18,HIGH,0.7433234798538053,69,NORMAL,0,LOW
242T,29.97397973,10,0.3336226984,41.0,9,1.333333333,24.9,2.0,0.1503179212,21.48394062,20.681316,0,Normal,68.87792739708051,23,HIGH,1.982465719299488,28,NORMAL,0,LOW
211K,26.09493109,6,0.2299297124,94.5,7,1.333333333,20.625,2.0,0.2625955177,15.49252523,15.417609,0,Normal,57.47449206108054,30,HIGH,6.129355077042101,3,HIGH,1,MEDIUM
242JK,27.74774765,9,0.3243506505,40.22222222,6,1.416666667,22.44705882,2.0,0.1517136409,17.47606429,17.34962,0,Normal,80.23547959723219,19,HIGH,2.318334477642738,25,NORMAL,0,LOW
240D,11.7493885,1,0.08511081233,151.0,6,0.75,20.66666667,2.0,0.1388213342,9.223932147,11.065463,0,Normal,21.668737286562585,71,LOW,13.64606252806593,1,HIGH,3,HIGH
372B,30.38218571,30,0.9874207301,48.93333333,7,1.5,22.0,2.0,0.5796442376,40.56706497,41.33075,0,Normal,179.3883602905118,5,HIGH,1.1839449642215545,50,NORMAL,0,LOW
210T,10.54346816,3,0.284536355,23.66666667,32,0.8333333333,15.24,2.0,0.09929727001,37.38383363,34.993343,0,Normal,11.52972492913934,103,LOW,0.6763191121808511,72,NORMAL,2,HIGH
212C,17.41006468,6,0.3446282429,94.5,12,1.083333333,18.0,2.0,0.4164463436,20.76107459,19.716753,0,Normal,28.605828750798675,54,LOW,4.792878421715787,9,HIGH,3,HIGH
410A,12.92557905,6,0.4641958382,27.66666667,11,0.9166666667,17.23636364,2.0,0.1619170067,19.62611284,20.217075,0,Normal,23.75612737020716,62,LOW,1.3684801916202023,41,NORMAL,2,HIGH
411,11.12296302,1,0.08990410182,4.0,9,1.166666667,17.65714286,2.0,0.004632940692,12.09453704,11.163853,0,Normal,13.79723600885734,94,LOW,0.3582992359358368,92,NORMAL,2,HIGH
